Date,ABT,lag_1,lag_5,lag_15,lag_25,lag_30,lag_60,lag_90,EMA_20,SMA_10,SMA_20,SMA_30,SMA_50,SMA_200,retorno_diario,retorno_5d,retorno_20d,retorno_30d,retorno_200d,volatilidad_20,momentum_10,BB_medio,BB_sup,BB_inf,RSI_14,MACD,Signal,target_retorno_20d
2010-10-20,18.404197692871,18.5621871948242,18.6710300445556,18.2772407531738,17.9882335662841,17.5669021606445,17.1560192108154,16.3288612365722,18.400115562124935,18.55914974212642,18.38354721069332,18.236221249898236,17.916888656616166,17.671566443443247,-0.014905778196971808,-0.003768141281649706,0.022211620501389584,0.05582021161250261,0.0035418096361099494,0.005748691930750498,0.004302058854246393,18.38354721069332,18.83599428861882,17.890766384904047,59.85417348263458,0.2291459265498368,0.2240257349874661,-0.0881346446818877
2010-10-21,18.5516605377197,18.404197692871,18.6815509796142,18.1901931762695,17.9708156585693,17.7897548675537,17.1386070251464,16.6186656951904,18.414548416943486,18.55478363037104,18.398600387573204,18.264131100972453,17.92653141021724,17.67185127735133,-0.008511362389301391,-0.014291249655098981,0.01663046492476572,0.04766324332939664,0.003104925309532991,0.006815424592739242,-0.002366730903703984,18.398600387573204,18.83735954117445,17.929734880212187,57.05466928565296,0.20183673012187597,0.22504977329994025,-0.09878893688762858
2010-10-22,18.4533462524414,18.5516605377197,18.6675090789794,18.3085708618164,17.9812583923339,17.9464473724365,17.0550479888916,16.8325672149658,18.41824344889567,18.57909259796137,18.4278164863586,18.28952795664465,17.946644363403276,17.672363982200572,0.008012457120356808,-0.006952872490953221,0.03252134275153207,0.04282834001021696,0.005558041372731637,0.007094485355990524,0.013277370349549233,18.4278164863586,18.808635248086272,17.988565527060135,57.8626890422427,0.18990392020047153,0.22040716466432742,-0.09817374252547928
2010-10-25,18.4357929229736,18.4533462524414,18.8430576324462,18.2841987609863,18.1971492767334,17.9151039123535,17.089859008789,16.7773647308349,18.419914827379284,18.58556041717524,18.446197509765586,18.30642458597815,17.96479103088375,17.6716209173202,-0.005299487077095155,-0.011472490819846914,0.020326553245587187,0.028245082131599597,-0.00798910341908432,0.006980648389688583,0.0035172853154235018,18.446197509765586,18.804918808802164,18.05071416391504,55.22129354218097,0.17054797035152447,0.21430651577155624,-0.10017117290947164
2010-10-26,18.4989910125732,18.4357929229736,18.5621871948242,18.4826736450195,18.1588497161865,17.9011783599853,17.3510112762451,16.8256645202636,18.427445892635845,18.590272903442333,18.46091537475582,18.323780886332155,17.98488487243648,17.67031460285182,-0.0009512274482724736,-0.02161351503650466,0.01622568940623248,0.029064247305931268,-0.013973477762420528,0.00704157195970168,0.0025627121288156474,18.46091537475582,18.79514341251617,18.097251607015004,48.37091170353369,0.15203922016643645,0.20555480668754988,-0.10893884902656525
2010-10-27,18.1303405761718,18.4989910125732,18.404197692871,18.4478588104248,18.1031341552734,17.9882335662841,17.4102058410644,16.663516998291,18.399150148210698,18.576932334899848,18.473918151855433,18.343707974751748,18.00429283142086,17.66884878635402,0.0034280103852135646,-0.0034045655066242686,0.014258263176140984,0.0333951564844579,-0.015600302907858299,0.007037498864733683,-0.007159877904442391,18.473918151855433,18.79405629216945,18.12777445734219,51.7424537867547,0.14084686497334076,0.1948516893833272,-0.09062723554313623
2010-10-28,18.1689662933349,18.1303405761718,18.5516605377197,18.3085708618164,17.9673385620117,17.9708156585693,17.4728813171386,16.5565567016601,18.377227876317768,18.522863388061474,18.466573143005327,18.34844487508134,18.013890266418414,17.66581140995021,-0.01992813749413891,-0.014880144262158224,-0.008037327897893465,0.007899998038387368,-0.032419748672944615,0.006984586327197555,-0.028958738060702927,18.466573143005327,18.830938925192513,18.116897378518352,44.74745703261842,0.10106482122054317,0.18405072450132992,-0.09565241490688625
2010-10-29,18.0179920196533,18.1689662933349,18.4533462524414,18.3886680603027,18.0857257843017,17.9812583923339,17.4032440185546,16.4082145690917,18.343014937587817,18.471604919433542,18.4655117988586,18.355049896240192,18.02746364593502,17.662077670097304,0.0021304463090927594,-0.020628570882196606,-0.0011669410395427349,0.011026246027464603,-0.039477651235492184,0.008358988020547433,-0.027438015550135364,18.4655117988586,18.82716173398939,18.105984552021265,43.36303785915354,0.07182607125947271,0.16745354384517258,-0.0941148561437386
2010-11-01,17.7652130126953,18.0179920196533,18.4357929229736,18.3886680603027,18.1414356231689,18.1971492767334,17.6086883544921,16.3737201690673,18.28798618283615,18.40665321350093,18.450982856750446,18.356274350484174,18.044354820251424,17.65748640537257,-0.00830945862544663,-0.02359215650280788,-0.015871191932796846,0.0020428841251212138,-0.048491818027435185,0.00831031010280897,-0.03479398652375598,18.450982856750446,18.87308131340396,18.05794228431324,39.73828917451669,0.03605615619560609,0.14832804932803262,-0.08082981393347433
2010-11-02,17.8635139465332,17.7652130126953,18.4989910125732,18.632396697998,18.238935470581,18.1588497161865,17.7166213989257,16.2805557250976,18.2475602555692,18.298868751525838,18.425033569335895,18.34187647501624,18.056051139831503,17.65139180660243,-0.014029255129110907,-0.0363738035613681,-0.02838438561488299,-0.02373647967983461,-0.06420729190036478,0.00835756168753249,-0.05720115284766425,18.425033569335895,18.95736992582667,17.944595787674224,26.112783029377937,-0.012544309508584206,0.1258736707015473,-0.0760613332200123
